image,humans,cars
0000006_00159_d_0000001.jpg,0,34
0000006_00611_d_0000002.jpg,2,38
0000006_01111_d_0000003.jpg,1,13
0000006_01275_d_0000004.jpg,1,13
0000006_01659_d_0000004.jpg,0,6
0000006_02138_d_0000006.jpg,0,3
0000006_02616_d_0000007.jpg,0,0
0000006_03636_d_0000009.jpg,0,0
0000006_04050_d_0000010.jpg,0,0
0000006_04309_d_0000011.jpg,0,4
0000006_05168_d_0000013.jpg,1,14
0000006_05208_d_0000014.jpg,0,0
0000006_05575_d_0000016.jpg,0,0
0000006_05999_d_0000017.jpg,0,15
0000006_06773_d_0000018.jpg,0,16
0000006_07596_d_0000020.jpg,0,3
0000011_00234_d_0000001.jpg,30,2
0000011_01350_d_0000003.jpg,9,0
0000011_01955_d_0000004.jpg,25,1
0000011_02800_d_0000005.jpg,25,8
0000011_04202_d_0000007.jpg,7,1
0000011_05068_d_0000008.jpg,27,0
0000011_06000_d_0000009.jpg,20,1
0000011_06595_d_0000010.jpg,10,0
0000011_07307_d_0000011.jpg,32,0
0000011_08299_d_0000012.jpg,7,1
0000054_00786_d_0000001.jpg,64,1
0000063_00500_d_0000001.jpg,113,0
0000063_02235_d_0000003.jpg,53,0
0000063_03139_d_0000004.jpg,33,0
0000063_04000_d_0000005.jpg,48,0
0000063_05000_d_0000006.jpg,30,0
0000063_06000_d_0000007.jpg,27,2
0000063_07000_d_0000008.jpg,78,0
0000063_08000_d_0000009.jpg,75,0
0000063_08995_d_0000010.jpg,41,0
0000063_10000_d_0000011.jpg,60,3
0000063_11000_d_0000012.jpg,60,1
0000063_11817_d_0000013.jpg,58,2
0000063_12500_d_0000014.jpg,113,0
0000066_01097_d_0000002.jpg,259,0
0000073_00377_d_0000001.jpg,31,2
0000073_01275_d_0000002.jpg,47,0
0000073_03155_d_0000004.jpg,43,0
0000073_04009_d_0000005.jpg,31,0
0000073_05010_d_0000006.jpg,35,1
0000073_05999_d_0000007.jpg,34,0
0000074_01218_d_0000002.jpg,45,0
0000074_02723_d_0000005.jpg,50,0
0000074_03738_d_0000007.jpg,38,0
